Reseller Name,Account,End Customer,Materials,Seller Cost,Customer Cost,Margin,Usage,Billing period,Creation Condition,Material Not Created,PO,PO Condition,Sales Order Number,Billing Block
514159,,ARTCENA,6688949,265.07,278.93,13.86,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,C HGDEVELOPMENT hbrinvestment.com,6688949,423.1,436.17,13.07,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,C PHH GESTION philippehottinguer.com,6688949,26.58,28.03,1.45,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,C SAVPROGROUP.FR,6688949,0.98,1.04,0.06,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,C SAVPROGROUPE.FR,6688949,1562.4,1656.82,94.42,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,C TAKOMA  https://www.takoma.fr,6688949,632.11,666.47,34.36,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,ECG,6688949,40.67,42.78,2.11,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,EXHORE (C),6688949,1617.35,1710.3,92.95,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,ISG,6688949,327.61,344.75,17.14,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,ITHEA,6688949,114.98,121.0,6.02,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,ITL,6688949,2771.45,2925.03,153.58,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,JEAN VITRY,6688949,716.6,757.78,41.18,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,LCDP,6688949,2975.7,3131.32,155.62,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,MADEO,6688949,383.49,402.41,18.92,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,MADEO - LABS (C),6688949,0.0,0.0,0.0,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,MANDARINE,6688949,518.55,540.22,21.67,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,MATSURI,6688949,1576.75,1664.11,87.36,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,MEDICALE PHARMACEUTIQUE (C) medicale-pharmaceutique.com,6688949,79.16,81.9,2.74,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,MYCOMM,6688949,13.64,14.35,0.71,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,SOLOINVEST,6688949,348.79,367.75,18.96,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,C HGDEVELOPMENT hbrinvestment.com,11532184,6.83,6.83,0.0,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,EXHORE (C),11532184,38.61,38.61,0.0,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,JEAN VITRY,11532184,53.17,53.17,0.0,,07/01/25 to 07/31/25,creation by end customer,,,,,
514159,,SOLOINVEST,11532184,26.54,26.54,0.0,,07/01/25 to 07/31/25,creation by end customer,,,,,
689040,,C Ballets de Monte-Carlo www.balletsdemontecarlo.com,6688949,572.86,608.65,35.79,,07/01/25 to 07/31/25,creation by end customer,,,,,
689040,,C Eldvarm eldvarm.com,6688949,0.0,0.0,0.0,,07/01/25 to 07/31/25,creation by end customer,,,,,
689040,,C I2N i2n.solutions,6688949,0.0,0.0,0.0,,07/01/25 to 07/31/25,creation by end customer,,,,,
689040,,C Monaco Economic Board www.meb.mc,6688949,0.74,0.72,-0.02,,07/01/25 to 07/31/25,creation by end customer,,,,,
689040,,C i2N i2n.mc,6688949,0.94,0.91,-0.03,,07/01/25 to 07/31/25,creation by end customer,,,,,
999999,,C - Internal TDS France - tdsynnex.com,6688949,15097.24,15715.0,617.76,,07/01/25 to 07/31/25,creation by end customer,,,,,
1000219,,C AROBS  arobs.ro,6688949,108.57,115.7,7.13,,07/01/25 to 07/31/25,creation by end customer,,,,,
1000219,,C ASCOM SWEDEN AB ascom.com,6688949,0.0,0.0,0.0,,07/01/25 to 07/31/25,creation by end customer,,,,,
1000219,,C Aeroportul Maramures aimm.eu,6688949,0.0,0.0,0.0,,07/01/25 to 07/31/25,creation by end customer,,,,,
1000219,,C AskYourQA Bri SaaS askyourqa.ro,6688949,544.74,571.19,26.45,,07/01/25 to 07/31/25,creation by end customer,,,,,
1000219,,C Brinel Organization brinel.com,6688949,2.74,2.88,0.14,,07/01/25 to 07/31/25,creation by end customer,,,,,
1000219,,C COMOSERV SRL www.comoserv.ro,6688949,264.95,282.38,17.43,,07/01/25 to 07/31/25,creation by end customer,,,,,
1000219,,C Deco Center www.decocenter.ro,6688949,0.0,0.0,0.0,,07/01/25 to 07/31/25,creation by end customer,,,,,
1000219,,C E-INFRA electrogrup.ro,6688949,630.79,665.06,34.27,,07/01/25 to 07/31/25,creation by end customer,,,,,
